번호	분류명	규정명
1	정관	학교법인 한양학원 정관
2	학칙	학칙
3	학칙	학칙 시행 세칙
4	학칙	제증명 발급 규정
5	학칙	특별과정 운영규정
6	학칙	시간제등록생 운영규정
7	학칙	산업체 위탁교육 운영 규정
8	학칙	비학위 전공심화과정 운영 규정
9	학칙	학점은행제 운영 규정
10	학칙	학점인정 시행 세칙
11	학칙	학점포기 운영 규정
12	학칙	계절학기 규정
13	학칙	교양과목 (해외어학연수) 학점인정제 규정
14	학칙	교양과목 (기업인턴십) 학점인정제 규정
15	학칙	학사학위 전공심화과정 운영 규정
16	학칙	수업 및 강의시간운영 규정
17	학칙	전과에 관한 규정
18	학칙	창업교육 학점인정제 규정
19	학칙	복수학위를 위한 융합전공에 관한 규정
20	학칙	교육과정 편성 및 운영에 관한 규정
21	학칙	창업실습, 창업현장실습 학점인정에 관한 규정
22	학칙	직무능력인증서 발급 규정
23	학칙	조기취업자 학사관리규정
24	학칙	학교기업 운영규정
25	학칙	학사학위 취득유예 시행세칙
26	학칙	수업운영 시행세칙
27	학칙	학업성적 처리규정
28	학칙	청년취업아카데미 학점인정제 규정
29	학칙	비교과 교육과정 운영 규정
30	학칙	재수강 관리 규정
31	학칙	진로탐색학점제 운영에 관한 규정
32	학칙	K-MOOC 학점인정에 관한 규정
33	학칙	교환학생관리 규정
34	학칙	타대학 학점교류 운영 규정
35	학칙	원격교육 운영 규정
36	학칙	선행학습경험인정제 운영규정
37	학칙	주문식 교육과정 운영 규정
38	학칙	현장실습학기제 운영규정
39	학칙	소단위 전공과정에 관한 규정
40	학칙	자유전공학과 전공배정 및 운영 규정
41	학칙	전문기술석사과정 학사운영규정
42	학칙	교육품질 자체평가 규정
43	학칙	자유설계학기 운영 규정
44	학칙	채용조건형 계약학과 운영 규정
45	학칙	일학습병행 사업 운영 규정
46	위원회	교무위원회 규정
47	위원회	교원인사위원회 규정
48	위원회	정년보장 교원임용 심사위원회 규정
49	위원회	교원징계위원회 규정
50	위원회	직원징계위원회 규정
51	위원회	직원재심위원회 규정
52	위원회	직원징계청원위원회 규정
53	위원회	학생지도위원회 규정
54	위원회	정보화위원회 규정
55	위원회	기획조정위원회 규정
56	위원회	직원 인사위원회 규정
57	위원회	산업체 위탁교육 심의위원회 규정
58	위원회	산업체 위탁교육 운영위원회 규정
59	위원회	전공심화과정 운영위원회 규정
60	위원회	시간제등록생 운영위원회 규정
61	위원회	학생복지 운영위원회 규정
62	위원회	교육과정위원회 규정
63	위원회	학술연구심의위원회 규정
64	위원회	건설위원회 규정
65	위원회	교원양성위원회 규정
66	위원회	등록금심의위원회 규정
67	위원회	산학운영위원회 규정
68	위원회	기자재 관리위원회 규정
69	위원회	해외학위검증위원회 규정
70	위원회	학과 교육과정위원회 규정
71	위원회	대학평의원회 운영 규정
72	위원회	학사제도 개선(개편)위원회 규정
73	위원회	진로취업운영위원회 규정
74	위원회	재정운영평가위원회 운영 규정
75	위원회	유학생 관리위원회 규정
76	위원회	국제교류협력위원회 규정
77	위원회	유학생 유치관리 자체평가위원회 규정
78	위원회	유학생 입시 심의위원회 규정
79	위원회	지식재산권심의위원회 규정
80	위원회	기관생명윤리위원회 규정
81	위원회	현장실습운영위원회 규정
82	위원회	편입생관리위원회 운영규정
83	위원회	창업운영위원회 규정
84	위원회	입학전형선행학습영향평가위원회 규정
85	위원회	기금운용심의회 규정
86	위원회	비교과교육과정운영위원회 규정
87	위원회	교육과정질관리위원회 규정
88	위원회	학과 교육질관리위원회 규정
89	위원회	홍보위원회 규정
90	위원회	수업관리 위원회 규정
91	위원회	복지시설관리운영 위원회 규정
92	위원회	재정사업통합관리위원회 규정
93	위원회	전공교육과정위원회 규정
94	위원회	직업기초 및 교양교육과정위원회 규정
95	위원회	미래전략위원회 규정
96	위원회	ESG위원회 규정
97	위원회	입학전형공정관리위원회 규정
98	위원회	입학전형관리위원회 규정
99	위원회	계약학과 운영위원회 규정
100	일반	직제 규정
101	일반	사무분장 규정
102	일반	교원인사 규정
103	일반	교원재임용 규정
104	일반	직원 인사 규정
105	일반	계약직원 임용 규정
106	일반	명예교수에 관한 규정
107	일반	대우교수에 관한 규정
108	일반	겸임교원에 관한 규정
109	일반	초빙교원에 관한 규정
110	일반	시간강사에 관한 규정
111	일반	특대강사에 관한 규정
112	일반	조교임용 및 근무에 관한 규정
113	일반	교원 업적 평가 규정
114	일반	계약제 임용 교원에 관한 규정
115	일반	교육전문연구원에 관한 규정
116	일반	비정년트랙 전임교원에 관한 규정
117	일반	학과 구조조정 규정
118	일반	교원소속변경 및 전공전환에 관한 규정
119	일반	산학협력중점교원에 관한 규정
120	일반	교육중점교원에 관한 규정
121	일반	교직원 직무역량개발 교육지원 규정
122	일반	강사 인사규정
123	일반	강사 채용에 관한 규정
124	일반	구성원 참여·소통 규정
125	일반	Joint Appointment(겸직) 교원 인사운영 규정
126	일반	예산 및 재무 회계 규정
127	일반	교원 및 직원 급여 규정
128	일반	여비 지급 규정
129	일반	국외 출장비 지급 규정
130	일반	학술연구기금 관리 규정
131	일반	연구간접경비 관리운영 세칙
132	일반	교직원 명예퇴직 및 명예퇴직 수당 지급 규정
133	일반	내부감사규정
134	일반	발전기금 관리 규정
135	일반	교직원 성과급 지급 규정
136	일반	교직원 복무 규정
137	일반	당직 규정
138	일반	교원 해외여행(출장)에 관한 규정
139	일반	교원 연구년제에 관한 규정
140	일반	산업체연수에 관한 규정
141	일반	교직원 복지 지원 규정
142	일반	제규정 관리 규정
143	일반	직인관리 규정
144	일반	휘장에 관한 규정
145	일반	실험실습 기자재 및 일반비품 관리 규정
146	일반	검수규정
147	일반	시설물 관리 규정
148	일반	위임 전결 규정
149	일반	시설물 사용에 관한 규정
150	일반	방화관리 규정
151	일반	보안업무 규정
152	일반	물품 구매업무 규정
153	일반	실험실습비 신청 및 지원 규정
154	일반	공사계약규정
155	일반	실험실습(물적자원)비 운영규정
156	일반	개인정보보호 규정
157	일반	현장실습지원센터 운영규정
158	일반	산학디자인센터 규정
159	일반	창업보육 규정
160	일반	연구실 안전관리 규정
161	일반	소방안전관리규정
162	일반	영상정보처리기기 설치 운영에 관한 규정
163	일반	외국어교육센터 규정
164	일반	행원보건센터 규정
165	일반	방사선 안전관리 규정
166	일반	AI융합혁신센터 규정
167	일반	대학 만족도 운영 규정
168	일반	대학발전계획 운영에 관한 규정
169	일반	한국어교육센터 규정
170	일반	정보보안 규정
171	일반	HYWU 미디어센터 규정
172	일반	문서관리 규정
173	일반	학생상담센터 규정
174	일반	감염병 관리 규정
175	일반	창업지원센터 운영 규정
176	일반	지산학협력본부 규정
177	일반	IR센터 규정
178	일반	공간관리 규정
179	일반	고숙련지원센터 규정
180	일반	교수학습혁신센터 규정
181	일반	대학일자리플러스센터 규정
182	일반	지역사회 협력활동 지원 규정
183	일반	교통안전관리 규정
184	일반	사회봉사활동 운영 규정
185	일반	일학습병행통합공동훈련센터 규정
186	교무행정	교내연구비 지급 규정
187	교무행정	연구논문집 간행 규정
188	교무행정	외부연구비 관리규정
189	교무행정	학술상 시상에 관한 규정
190	교무행정	산학장려금에 관한 규정
191	교무행정	학술활동지원 규정
192	교무행정	연구윤리 규정
193	교무행정	직무발명 규정
194	교무행정	보건의료정보관리 전공교육 프로그램 운영 규정
195	교무행정	대학입학전형 회피.제척 운영에 관한 규정
196	교무행정	교수 및 학생 창업 규정
197	교무행정	입학전형 관리 및 운영에 관한 규정
198	학생행정	학생준칙
199	학생행정	학생준칙의 시행 세칙
200	학생행정	학생상벌에 관한 규정
201	학생행정	장학금 지급 규정
202	학생행정	장학금 지급 규정에 관한 시행 세칙
203	학생행정	총학생회 회칙
204	학생행정	총학생회 임원 선거 규정
205	학생행정	학생단체(동아리)운영 규정
206	학생행정	교지편집위원회 운영 규정
207	학생행정	학과 학생회 운영 규정
